Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1896/12/31,1.2616897,0.00054284,0.2975621,2.01706E-13,3.1766931,9.033937E-08,0.001238113,,1.0898979,0.0827829,,0.03723614,6.83107941E-11,,,,0.4749884,,,,0.0064354,0.0367257,,0.0003598205,,2.8500478,12.5601195,1.3273101,,,,,,,,0.2440043,5.1308,8.1347973,,,2.197E-07,6.958,3.4527182,,,0.0071389,,,,
1897/01/31,,,,,,,,,,,,,6.83107941E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/02/28,,,,,,,,,,,,,6.77493522E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/03/31,,,,,,,,,,,,,6.66264682E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/04/30,,,,,,,,,,,,,6.60649397E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/05/31,,,,,,,,,,,,,6.60649397E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/06/30,,,,,,,,,,,,,6.60649397E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,,,,,,,,
1897/07/31,,,,,,,,,,,,,6.71879102E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86,,,,,,,,
1897/08/31,,,,,,,,,,,,,6.94337647E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/09/30,,,,,,,,,,,,,7.21474586E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/10/31,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/11/30,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1897/12/31,1.2756033,0.00054706,0.3441194,2.36798E-13,3.2924757,8.524266E-08,0.001185932,,1.0898979,0.0851407,,0.036453885,7.27089007E-11,,,,0.465257,,,,0.0064354,0.0441482,,0.0003598205,,2.8943802,12.498247,1.3273101,,,,,,,,0.2312837,5.2943,8.2038198,6.5804E-06,,2.1223E-07,6.958,3.5339586,,,0.0077453,,,,
1898/01/31,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/02/28,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/03/31,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/04/30,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/05/31,,,,,,,,,,,,,7.27089007E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/06/30,,,,,,,,,,,,,7.21474586E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/07/31,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/08/31,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/09/30,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/10/31,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.958,,,,,,,,
1898/11/30,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.056,,,,,,,,
1898/12/31,1.2850646,0.00055127,0.3599282,2.4783E-13,3.6412891,8.84828E-08,0.0011637946,,1.1472729,0.0972441,,0.036845012,6.99016041E-11,,,,0.4973469,,,,0.0064354,0.0530611,,0.000306543,,2.9183181,12.621992,1.4213416,,,,,,,,0.2245765,5.5464,8.3122838,7.0932E-06,,2.1135E-07,7.056,3.5339586,,,0.0083425,,,,
1899/01/31,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.154,,,,,,,,
1899/02/28,,,,,,,,,,,,,6.99016041E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.154,,,,,,,,
1899/03/31,,,,,,,,,,,,,7.04630462E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/04/30,,,,,,,,,,,,,7.04630462E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/05/31,,,,,,,,,,,,,7.04630462E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/06/30,,,,,,,,,,,,,7.04630462E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/07/31,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/08/31,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.252,,,,,,,,
1899/09/30,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,,,,,,
1899/10/31,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,,,,,,
1899/11/30,,,,,,,,,,,,,7.10244882E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,,,,,,
1899/12/31,1.3067699,0.00056253,0.3418462,2.41173E-13,3.718966,9.924049E-08,0.0016033801,,1.1759224,0.0910448,,0.036845012,7.10244882E-11,,,,0.4973469,,,,0.0063736,0.051774,,0.0002932105,,2.8733508,12.1888845,1.4635307,,,0.221922,,,,,0.2245765,5.7917,8.2235405,6.6659E-06,,2.084E-07,7.35,3.5745789,,,0.0083857,,,,
