Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History,Data Notes
1903/12/31,,505.6307439,,599621.4492356,33580,20804.61448,115689.361702128,,,12636.05382,860.5512663,,3180731.052,18836.63091,,,3334017.57,224136.6573,,,,,6051,214100,14930,,,,8191.5,55216,4790.794922,1769877.911,,92380,,30780.55917,95467.0637,,,,54173,271324,191299.5142,,115033,152011,15010,4516,9595165.061,412.1237
1904/06/30,,,,,,,,,,,,40321.45086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904/12/31,,499.5057208,,610169.2740111,34144,23023.45678,120402.127659574,,,12816.60789,874.9676381,,3441217.057,19070.01841,,,3239041.701,227386.2032,,,,,6257,184384,15129,,,,8750.6,51707,5088.667546,1571531.903,,94657,,30505.8905,95648.19944,,,,53855,278033,193762.6679,,117579,153153,15255.1,4688,10637269.43,402.2073
1905/06/30,,,,,,,,,,,,40151.31816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905/12/31,,536.2579612,,673564.4373757,37692,26079.85708,122937.234042553,,,13237.90119,841.9732867,,3437735.287,19306.41739,,,3193334.432,230481.985,,,,,6716,196202,14710,,,,8917.9,52788,5254.294749,1759746.753,,97492,,31524.25269,96374.45108,,,,53201,278751,199650.1268,,119532,155815,16146.7,4763,10164268.41,397.4474
1906/06/30,,,,,,,,,,,,42107.84425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906/12/31,,598.6274695,,665943.385206,41725,27391.64564,126700,,,14923.07293,905.7652798,,3706476.146,19545.8278,,,3421933.995,236933.2391,,,,,7250,203794,14810,,,,9747,58726,5227.7519,1941240.347,,101580,,33048.58346,100371.3985,,,,56118,299019,204573.1762,,122923,158669,16810.6,4953,10110211.12,370.8716
1907/06/30,,,,,,,,,,,,46361.16187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907/12/31,,608.0935098,,705016.359224,44024,27969.57929,132205.319148936,,,15043.44255,811.6535585,,3902437.428,19786.74392,,,3133550.42,243083.7991,,,,,7706,214788,15165,,,,10579.8,58870,5338.538449,1853115.036,,104268,,33165.83968,104728.9086,,,,57724,308888,208321.1232,,127456,165519,17568.6,5124,10497621.52,370.8716
1908/06/30,,,,,,,,,,,,45255.29929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908/12/31,,557.9761496,,703945.406732,41843,30709.82429,134541.489361702,,,14561.96481,916.5220556,,4316710.163,20032.17725,,,3302344.898,243227.3121,,,,,7851,227086,14926,,,,10865,58726,5344.929967,1882069.651,,107358,,33127.28969,108057.7044,,,,59859,308602,200505.9316,,131520,164567,17929.4,5181,10791933.31,396.6541
1909/06/30,,,,,,,,,,,,50274.21404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909/12/31,,650.4158638,,724646.7567012,46048,32225.42106,137115.957446809,,,16066.58248,919.1882845,,4338511.298,20280.62204,,,3625899.257,255237.989,,,,,7985,231346,14918,,,,10321.2,64303,5485.918412,1946877.529,,109162,,34613.07047,110417.5952,,,,60937,302370,205966.5741,,136567,171417,18120.8,5408,11047203.77,410.537
1910/06/30,,,,,,,,,,,,52996.33733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910/12/31,,668.7919839,,731082.4224309,50133,34569.57204,142225.531914894,,,16487.87579,949.6999491,,4828980.589,20530.57253,,,3636456.814,270966.3377,,,,,8122,266148,15292,,,,10792.8,75433,5500.57896,2066440.967,,110222,,34926.28913,114959.6586,,,,59162,323094,211425.0445,,140723,160953,18027.4,5529,11763462.15,412.1237
1911/06/30,,,,,,,,,,,,58185.38479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
