Date,Open,High,Low,Close,Adj Close,Volume
1998-09-01,41.740002,48.060001,32.439999,40.950001,40.950001,0
1998-10-01,41.900002,49.529999,27.540001,28.049999,28.049999,0
1998-11-01,28.309999,30.559999,21.24,26.01,26.01,0
1998-12-01,27.379999,31.67,20.08,24.42,24.42,0
1999-01-01,25.379999,33.66,21.379999,26.25,26.25,0
1999-02-01,27.209999,31.75,25.219999,27.879999,27.879999,0
1999-03-01,29.34,29.9,22,23.26,23.26,0
1999-04-01,22.870001,26.5,20.469999,25.07,25.07,0
1999-05-01,24.41,29.620001,24.049999,25.389999,25.389999,0
1999-06-01,27.120001,27.99,20.67,21.09,21.09,0
1999-07-01,20.57,25.74,17.07,24.639999,24.639999,0
1999-08-01,25.75,30,20.120001,24.450001,24.450001,0
1999-09-01,23.860001,29.209999,20.870001,25.41,25.41,0
1999-10-01,25.58,29.809999,20.299999,22.200001,22.200001,0
1999-11-01,22.700001,24.290001,18.639999,24.18,24.18,0
1999-12-01,23.41,25.200001,18.690001,24.639999,24.639999,0
2000-01-01,24.360001,29,19.51,24.950001,24.950001,0
2000-02-01,24.43,28.120001,20.690001,23.370001,23.370001,0
2000-03-01,22.65,25.870001,19.190001,24.110001,24.110001,0
2000-04-01,24.99,34.310001,23.25,26.200001,26.200001,0
2000-05-01,26.07,32.889999,23.23,23.65,23.65,0
2000-06-01,23.200001,25.01,19.389999,19.540001,19.540001,0
2000-07-01,20.51,21.65,18.77,20.74,20.74,0
2000-08-01,20.66,20.84,16.280001,16.84,16.84,0
2000-09-01,16.809999,22.66,16.469999,20.57,20.57,0
2000-10-01,20.98,30.799999,20.41,23.629999,23.629999,0
2000-11-01,24.07,31.110001,23.51,29.65,29.65,0
2000-12-01,28.309999,32.32,22.379999,26.85,26.85,0
2001-01-01,27.93,30.799999,21.469999,22.02,22.02,0
2001-02-01,22.389999,30.620001,20.219999,28.35,28.35,0
2001-03-01,29.66,35.450001,24.120001,28.639999,28.639999,0
2001-04-01,29.4,35.200001,23.01,25.48,25.48,0
2001-05-01,25.459999,26.49,20.459999,22.639999,22.639999,0
2001-06-01,23.02,24.42,18.83,19.059999,19.059999,0
2001-07-01,19.75,25.610001,18.74,21.620001,21.620001,0
2001-08-01,20.969999,25.84,19.690001,24.92,24.92,0
2001-09-01,26.110001,49.349998,24.190001,31.93,31.93,0
2001-10-01,33.419998,36.950001,28.110001,33.560001,33.560001,0
2001-11-01,33.970001,34.57,22.959999,23.84,23.84,0
2001-12-01,25.92,26.379999,21.120001,23.799999,23.799999,0
2002-01-01,23.780001,26.879999,20.4,21.09,21.09,0
2002-02-01,21.120001,27.32,20.549999,21.59,21.59,0
2002-03-01,21.059999,21.120001,17.02,17.4,17.4,0
2002-04-01,18.99,24.5,17.73,21.91,21.91,0
2002-05-01,21.440001,22.709999,17.700001,19.98,19.98,0
2002-06-01,20.98,30.98,20.620001,25.4,25.4,0
2002-07-01,25.709999,48.459999,25.629999,32.029999,32.029999,0
2002-08-01,32.77,45.209999,27.610001,32.639999,32.639999,0
2002-09-01,37.119999,41.860001,33.720001,39.689999,39.689999,0
2002-10-01,37.25,43.439999,29.690001,31.139999,31.139999,0
2002-11-01,31.57,32.599998,23.049999,27.5,27.5,0
2002-12-01,28.35,31.200001,25.870001,28.620001,28.620001,0
2003-01-01,28.74,35.330002,24.02,31.17,31.17,0
2003-02-01,32.450001,35.66,29.059999,29.629999,29.629999,0
2003-03-01,29.780001,34.400002,27.58,29.15,29.15,0
2003-04-01,29.58,30.040001,20.26,21.209999,21.209999,0
2003-05-01,21.35,22.33,18.24,19.469999,19.469999,0
2003-06-01,20.35,22.809999,18.870001,19.52,19.52,0
2003-07-01,20.49,20.799999,17.65,19.49,19.49,0
2003-08-01,20.059999,23.889999,17.639999,18.629999,18.629999,0
2003-09-01,19.309999,23.26,17.52,22.719999,22.719999,0
2003-10-01,22.809999,22.82,15.79,16.1,16.1,0
2003-11-01,16.33,19.610001,16.02,16.32,16.32,0
2003-12-01,16.74,18.860001,14.66,18.309999,18.309999,0
2004-01-01,17.959999,18.68,14.01,16.629999,16.629999,0
2004-02-01,17.450001,18.059999,13.8,14.55,14.55,0
2004-03-01,14.91,22.67,13.83,16.74,16.74,0
2004-04-01,16.76,17.98,13.86,17.190001,17.190001,0
2004-05-01,17.690001,20.450001,15.19,15.5,15.5,0
2004-06-01,16.6,17.040001,13.75,14.34,14.34,0
2004-07-01,14.74,17.93,13.34,15.32,15.32,0
2004-08-01,16.42,19.969999,14.67,15.29,15.29,0
2004-09-01,15.39,15.98,13.16,13.34,13.34,0
2004-10-01,13.11,16.870001,12.6,16.27,16.27,0
2004-11-01,16.43,16.76,12.56,13.24,13.24,0
2004-12-01,13.1,13.74,11.14,13.29,13.29,0
2005-01-01,13.39,14.75,12.29,12.82,12.82,0
2005-02-01,12.8,13.2,10.9,12.08,12.08,0
2005-03-01,11.95,14.89,11.66,14.02,14.02,0
2005-04-01,13.64,18.59,11.2,15.31,15.31,0
2005-05-01,15.45,17.700001,11.65,13.29,13.29,0
2005-06-01,13.34,13.34,10.78,12.04,12.04,0
2005-07-01,11.75,13.92,9.88,11.57,11.57,0
